word,set,lexicore_level,oxford_level,newest_share,recent_share
interestingly,lexicore_only,C1,,,
intermediary,lexicore_only,C1,,,
interpreter,lexicore_only,B2,,,
interruption,lexicore_only,B2,,,
interviewer,lexicore_only,A1,,,
intrigue,lexicore_only,C1,,,
intrinsic,lexicore_only,C1,,,
intrusion,lexicore_only,B2,,,
intuition,lexicore_only,C1,,,
intuitive,lexicore_only,C1,,,
intuitively,lexicore_only,C1,,,
inversion,lexicore_only,C1,,,
invoice,lexicore_only,C1,,,
ion,lexicore_only,B2,,,
irregular,lexicore_only,B1,,,
irresistible,lexicore_only,B2,,,
is,lexicore_only,A1,,,
issuance,lexicore_only,C1,,,
issuer,lexicore_only,C1,,,
itinerary,lexicore_only,C1,,,
jar,lexicore_only,B1,,,
jaw,lexicore_only,B2,,,
jelly,lexicore_only,A2,,,
jersey,lexicore_only,C1,,,
jewel,lexicore_only,B1,,,
jewelry,lexicore_only,A1,,,
jog,lexicore_only,C1,,,
judgment,lexicore_only,B1,,,
jungle,lexicore_only,B1,,,
junk,lexicore_only,A2,,,
justly,lexicore_only,C1,,,
juvenile,lexicore_only,C1,,,
keeper,lexicore_only,B2,,,
killer,lexicore_only,A2,,,
kilometer,lexicore_only,A2,,,
kindly,lexicore_only,A2,,,
kindness,lexicore_only,B1,,,
kite,lexicore_only,A1,,,
knot,lexicore_only,B2,,,
knowledgeable,lexicore_only,C1,,,
known,lexicore_only,B2,,,
labor,lexicore_only,A2,,,
lamb,lexicore_only,B1,,,
lapse,lexicore_only,C1,,,
latent,lexicore_only,C1,,,
lateral,lexicore_only,C1,,,
laundry,lexicore_only,B2,,,
lava,lexicore_only,B2,,,
lawful,lexicore_only,B1,,,
lease,lexicore_only,B2,,,
legally,lexicore_only,B1,,,
legitimacy,lexicore_only,C1,,,
lemonade,lexicore_only,A2,,,
leopard,lexicore_only,B2,,,
lever,lexicore_only,C1,,,
lexical,lexicore_only,C1,,,
liaison,lexicore_only,C1,,,
lid,lexicore_only,B2,,,
lighter,lexicore_only,B1,,,
lightly,lexicore_only,B1,,,
lightning,lexicore_only,B1,,,
lily,lexicore_only,A1,,,
limitless,lexicore_only,C1,,,
linearly,lexicore_only,C1,,,
linguistic,lexicore_only,C1,,,
linguistics,lexicore_only,C1,,,
liquidation,lexicore_only,C1,,,
liquidity,lexicore_only,C1,,,
locally,lexicore_only,B1,,,
locus,lexicore_only,C1,,,
lodge,lexicore_only,C1,,,
loneliness,lexicore_only,B2,,,
longer,lexicore_only,A1,,,
longitudinal,lexicore_only,C1,,,
lover,lexicore_only,A2,,,
luckily,lexicore_only,A2,,,
ludicrous,lexicore_only,C1,,,
lump,lexicore_only,C1,,,
lush,lexicore_only,B2,,,
lust,lexicore_only,C1,,,
luxurious,lexicore_only,B2,,,
macabre,lexicore_only,C1,,,
macro,lexicore_only,C1,,,
macroeconomic,lexicore_only,C1,,,
macroeconomics,lexicore_only,C1,,,
made,lexicore_only,A1,,,
madness,lexicore_only,B2,,,
magnetism,lexicore_only,C1,,,
maker,lexicore_only,A2,,,
malfunction,lexicore_only,C1,,,
managerial,lexicore_only,C1,,,
mankind,lexicore_only,B1,,,
mansion,lexicore_only,B2,,,
manual,lexicore_only,B2,,,
maple,lexicore_only,B1,,,
marble,lexicore_only,B1,,,
marginally,lexicore_only,C1,,,
marked,lexicore_only,B1,,,
marrow,lexicore_only,C1,,,
marvel,lexicore_only,C1,,,
masterpiece,lexicore_only,B2,,,
maternal,lexicore_only,C1,,,
math,lexicore_only,A1,,,
matrix,lexicore_only,B2,,,
max,lexicore_only,A2,,,
meaningless,lexicore_only,C1,,,
mediate,lexicore_only,C1,,,
melon,lexicore_only,A2,,,
memorandum,lexicore_only,C1,,,
mentally,lexicore_only,B1,,,
merchandise,lexicore_only,B2,,,
